Cromado - CMP Cevil Redondo,,,,,,,
,,,,,,,
Molde,Fecha de envío,Fecha de recepción,Proveedor,Transporte Ida,Transporte vuelta,Detalle,Observaciones
H12,25/4/2024,13/5/2024,Prados,La Sevillanita,La Sevillanita,36 dados + 1 boquilla,
H18,17/5/2024,10/6/2024,Prados,La Sevillanita,La Sevillanita,36 dados + 1 boquilla,
H12,13/6/2024,28/6/2024,Prados,Prados (visita),La Sevillanita,36 dados,Sin costo. En garantía por trabajo desprolijo
H8,13/6/2024,28/6/2024,Prados,Prados (visita),La Sevillanita,48 dados,
H12,18/7/2024,30/7/2024,Prados,La Sevillanita,La Sevillanita,36 dados,Se envían además 6 de dados de un H18
H12,26/8/2024,9/9/2024,Prados,La Sevillanita,La Sevillanita,36 dados + 1 boquilla + 10 frenos,
H18,20/9/2024,11/10/2024,Prados,La Sevillanita,La Sevillanita,36 dados + 1 boquilla,
H18,29/11/2024,13/12/2024,Prados,La Sevillanita,La Sevillanita,36 dados,Se envía además una boquilla de 3 salidas H18 y 27 dados de MP
H18,9/1/2025,14/1/2025,Prados,La Sevillanita,La Sevillanita,27 dados,Molde de planta: Marcos Paz
H12,1/2/2025,26/2/2025,Prados,La Sevillanita,La Sevillanita,36 dados + 1 boquilla,Dados mal cromados; sin solucion.
H12,1/2/2025,26/2/2025,Prados,La Sevillanita,La Sevillanita,36 dados,Dados con detalles en el cromado
H18,7/4/2025,17/4/2025,Cerámica de Santiago ,La Sevillanita,La Sevillanita,36 dados ,
H12,25/4/2025,8/5/2025,Cerámica de Santiago ,La Sevillanita,La Sevillanita,36 dados + 1 boquila,Solo llegaron los 36 dados 
H12,25/4/2025,12/5/2025,Cerámica de Santiago ,La Sevillanita,La Sevillanita,Está faltando la 1 boquilla ,Retiro Fernandes de la Sevillanita.
H12,28/8/2025,10/9/2025,Cerámica de Santiago ,La Sevillanita,La Sevillanita,36 dados + 1 boquilla,
H18,17/9/2025,7/10/2025,Cerámica de Santiago ,La Sevillanita,La Sevillanita,36 dados + boquilla 1,Boquilla de 4 salidas
H8,21/11/2025,17/12/2025,Cerámica de Santiago ,La Sevillanita,La Sevillanita,48 dados + 14 frenos + 1 boquilla,Boquilla de 8 salidas
P18,28/11/2025,23/1/2026,Cerámica de Santiago ,La Sevillanita,La Sevillanita,76 dados + 2 boquillas,
H12,20/2/2026,20/3/2026,Cerámica de Santiago ,La Sevillanita,La Sevillanita,6 arañas + 5 cuchillas + 4 revestimiento + 44 frenos laterales ,Molde Brasilero 
H8,20/2/2026,13/3/2026,Cerámica de Santiago ,La Sevillanita,La Sevillanita,48 dados,Boquilla de 8 salidas
