,Lento ⭕,Rapido ⭕,,,,
Inicial [mm],153,143,,,,
Actual [mm],137.70,128.80,,,,
,,,,,,
,,,,,,
,,,,,,
Fecha,Rectificado Lento,Rectificado Rapido,Observaciones,Insertos nuevos usados,Responsable,Proximo_Rectificado
12/5/2024,2.00,2.00,Sin insertos.,,Valenzuela M.,10/8/2024
19/5/2024,2.00,1.50,Se rompieron 2 insertos en el laminador 2.,,Valenzuela M.,17/8/2024
11/8/2024,,1.50,1 inserto nuevo. ,,Valenzuela M.,9/11/2024
18/8/2024,,2.00,Sin insertos.,,Valenzuela M.,16/11/2024
25/8/2024,,1.00,Sin insertos.,,Valenzuela M.,23/11/2024
1/9/2024,1.50,,Sin insertos.,,Valenzuela M.,30/11/2024
15/12/2024,,1.50,Sin insertos.,,Valenzuela M.,15/3/2025
22/11/2024,1.40,,Sin insertos.,,Valenzuela M.,20/2/2025
30/3/2025,0.60,,Sin insertos.,,Valenzuela M.,28/6/2025
13/4/2025,,0.80,Sin insertos.,,Valenzuela M.,12/7/2025
30/4/2025,0.60,,Se rompe 1 inserto,,Valenzuela M.,13/5/2025
13/5/2025,,0.80,,,Valenzuela M.,6/7
3/7/2025,2.80,1.30,Se rompe 1 inserto,,Valenzuela M.,30/11/2025
13/12/2025,2.00,,Falta cilindro Rapido,,Valenzuela M.,20/12/2025
22/3/2025,,1.80,,,Valenzuela M.,
22/3/2025,2.40,,,,Viera M.,
